entity,	code,	year,	annual_number_of_objects_launched_into_outer_space
European Space Agency,		,2020,	2
European Space Agency,		,2023,	2
European Space Agency,		,2024,	5
France,	FRA,	2020,	4
France,	FRA,	2021,	9
France,	FRA,	2022,	10
France,	FRA,	2023,	12
France,	FRA,	2024,	22
Germany,	DEU,	2020,	5
Germany,	DEU,	2021,	9
Germany,	DEU,	2022,	5
Germany,	DEU,	2023,	9
Germany,	DEU,	2024,	7
India,	IND,	2020,	3
India,	IND,	2021,	5
India,	IND,	2022,	11
India,	IND,	2023,	7
India,	IND,	2024,	10
Japan,	JPN,	2020,	9
Japan,	JPN,	2021,	24
Japan,	JPN,	2022,	12
Japan,	JPN,	2023,	13
Japan,	JPN,	2024,	26
