month,	entity,	year,	temperature_anomaly
January,	India,	2023,	0.001451492
February,	India,	2023,	1.0346622
March,	India,	2023,	0
April,	India,	2023,	0
May,	India,	2023,	0
June,	India,	2023,	0.56406975
July,	India,	2023,	0.2611065
August,	India,	2023,	0.83706474
September,	India,	2023,	0.7714386
October,	India,	2023,	0.6637478
November,	India,	2023,	0.9196472
December,	India,	2023,	0.81822586
January,	India,	2024,	0.13316536
February,	India,	2024,	0.29763794
March,	India,	2024,	0.12943268
April,	India,	2024,	0.6106491
May,	India,	2024,	0.47037506
June,	India,	2024,	0.8326359
July,	India,	2024,	0.67235374
August,	India,	2024,	0.44521332
September,	India,	2024,	0.6752014
October,	India,	2024,	1.3605309
November,	India,	2024,	0.7666836
December,	India,	2024,	0.4754715
January,	World,	2023,	0.24682045
February,	World,	2023,	0.29254246
March,	World,	2023,	0.5115061
April,	World,	2023,	0.3205328
May,	World,	2023,	0.39521217
June,	World,	2023,	0.531106
July,	World,	2023,	0.72343063
August,	World,	2023,	0.7090626
September,	World,	2023,	0.9306059
October,	World,	2023,	0.8495197
November,	World,	2023,	0.8537445
December,	World,	2023,	0.8447113
January,	World,	2024,	0.698431
February,	World,	2024,	0.810215
March,	World,	2024,	0.7280197
April,	World,	2024,	0.67018795
May,	World,	2024,	0.6517477
June,	World,	2024,	0.6741648
July,	World,	2024,	0.678072
August,	World,	2024,	0.7105751
September,	World,	2024,	0.7279062
October,	World,	2024,	0.7986078
November,	World,	2024,	0.7279835
December,	World,	2024,	0.7583227
